REF_AREA,Reference area,DEATH_CAUSE,Cause of death,TIME_PERIOD,OBS_VALUE
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1966,1591
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1967,1832.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1968,1943.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1969,1237.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1970,1354
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1977,1572.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1978,1553.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1979,1676.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1982,1404.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1983,1249.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1984,1135.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1985,1044.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1986,1169.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1987,1117.2
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1988,1171
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1989,1135.7
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1990,1136.2
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1991,1093.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1992,1036.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1993,947
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1994,935.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1995,887.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1996,838.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1997,773.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1998,786.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1999,755
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2000,737.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2001,692.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2002,759.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2003,721.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2004,693.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2005,617.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2006,547.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2007,555.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2008,567.2
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2009,528.4
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2010,530.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2011,504
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2012,461.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2013,469.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2014,463
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2015,415.7
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2016,390.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2017,385.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2018,346.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2019,330.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2020,278.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2021,260.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1960,1056.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1961,1050.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1962,1061.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1963,1017.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1964,931.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1965,888.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1966,890.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1967,930.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1968,880.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1969,900.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1970,913.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1971,887.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1972,805.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1973,719.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1974,695.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1975,560.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1976,529.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1977,444.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1978,436.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1979,410
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1980,406.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1981,358.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1982,355.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1983,333
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1984,328.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1985,335
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1986,296.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1987,308.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1988,292.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1989,312.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1990,289.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1991,260.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1992,270.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1993,221.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1994,233.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1995,199.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1996,219.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1997,207
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1998,194.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1999,213.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2000,216
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2001,217.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2002,212.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2003,203
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2004,193.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2006,216.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2007,187.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2008,184.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2009,196.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2010,181
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2011,179
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2012,146.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2013,157.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2014,151.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2015,150.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2016,149.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2017,157.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2018,147.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2019,146.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2020,140.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2021,151.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2022,145.4
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1960,2073.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1961,1859
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1962,1855.4
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1963,1891.8
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1964,1608.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1965,1510.8
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1966,1508.5
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1967,1354.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1968,1314.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1969,1204.8
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1970,1167.1
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1971,1146.4
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1972,1164
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1973,1094.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1974,1031.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1975,913.7
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1976,716
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1977,650.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1978,568.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1979,535.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1980,632.5
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1981,573.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1982,542.8
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1983,461.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1984,411.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1985,431.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1986,364.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1987,333.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1988,287
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1989,293.1
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1990,234.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1991,275.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1992,271.9
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1993,232.7
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1994,232
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1995,199.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1996,196.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1997,172.5
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1998,173.7
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,1999,143.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2000,167.7
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2001,200.1
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2002,192.9
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2003,224
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2004,229.1
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2005,209.1
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2006,191.8
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2007,170.8
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2008,165.4
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2009,161.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2010,187.3
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2011,151.5
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2012,137.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2013,133.5
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2014,142
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2015,140.7
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2016,137.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2017,131.6
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2018,119.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2019,145.2
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2020,150.4
AUT,Austria,CICDAFFE,Certain conditions originating in the perinatal period,2021,133.3
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1960,1512.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1961,1391.6
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1962,1316.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1963,1271.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1964,1234.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1965,1151.5
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1966,1164.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1967,1041.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1968,853.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1969,918.5
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1970,905.6
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1971,895
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1972,808.6
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1973,722.7
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1974,655.7
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1975,656.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1976,599.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1977,560.5
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1978,502.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1979,538.1
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1980,484.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1981,461.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1982,382.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1983,361.7
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1984,283.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1985,333.3
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1986,277.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1987,326.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1988,303.1
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1989,295.6
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1990,277.5
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1991,255.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1992,237.6
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1993,233.5
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1994,229
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1995,185.1
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1996,172.7
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1997,189.3
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1998,180.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,1999,176
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2000,179
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2001,174.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2002,150.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2003,176.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2004,148.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2005,172.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2006,171.6
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2007,177.3
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2008,170.5
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2009,144.3
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2010,140.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2011,144.4
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2012,136.2
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2013,136.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2014,145
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2015,131.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2016,138.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2017,141.9
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2018,160.8
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2019,159.7
BEL,Belgium,CICDAFFE,Certain conditions originating in the perinatal period,2020,136.6
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1979,1328.3
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1980,1315.7
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1981,1365.1
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1982,1327.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1983,1305.7
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1984,1192.9
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1985,1091
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1986,1157.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1987,1062.5
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1988,1046.6
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1989,975.3
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1990,913.6
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1991,896.3
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1992,863.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1993,889.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1994,909.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1995,917.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1996,907.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1997,918.3
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1998,883.3
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,1999,891.5
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2000,834.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2001,844.6
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2002,835.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2003,818.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2004,808.5
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2005,797.8
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2006,767.9
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2007,739.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2008,725.9
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2009,714.1
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2010,680
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2011,680.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2012,669.8
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2013,663.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2014,655.5
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2015,641.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2016,608.2
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2017,620.1
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2018,597.7
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2019,584.3
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2020,540.4
BRA,Brazil,CICDAFFE,Certain conditions originating in the perinatal period,2021,536.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1964,1234.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1965,1086
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1966,1136.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1967,1174.9
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1968,688.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1969,628.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1970,611.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1971,625.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1972,643.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1973,725.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1974,776.7
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1975,667.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1976,617.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1977,578
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1978,546.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1979,513
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1980,538.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1981,474.8
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1982,524.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1983,451.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1984,453
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1985,428.7
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1986,446.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1987,370.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1988,364.8
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1989,343.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1990,309.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1991,380.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1992,371.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1993,383.7
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1994,383.4
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1995,363.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1996,370.4
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1997,384
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1998,374.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,1999,432.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2000,404.8
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2001,383.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2002,349.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2003,336.4
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2004,324.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2005,355.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2006,355.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2007,360.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2008,336.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2009,377.9
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2010,325.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2011,344.8
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2012,292.6
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2013,295.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2014,329.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2015,239.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2016,263.8
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2017,270.2
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2018,226.3
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2019,205.1
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2020,184.5
BGR,Bulgaria,CICDAFFE,Certain conditions originating in the perinatal period,2021,184
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1960,1361.4
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1961,1356.2
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1962,1368.4
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1963,1314.7
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1964,1224
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1965,1074.6
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1966,1000.3
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1967,952.5
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1968,943.3
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1969,855
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1970,866.6
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1971,775.5
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1972,706.9
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1973,633.2
CAN,Canada,CICDAFFE,Certain conditions originating in the perinatal period,1974,594.7
